name,base_url,category_slug,schema_name,discovery_procedure,crawl_notes,active,metric_name,metric_value,metric_unit,estimate_kind,provenance,source_url,observed_on
GitHub,https://github.com,git-hosting,git-repository,GitHub REST and GraphQL APIs plus public event streams,Respect API rate limits and repository visibility changes,1,public_repositories,420000000,repositories,estimate,Planning estimate based on publicly reported scale,,2026-07-09
GitLab.com,https://gitlab.com,git-hosting,git-repository,GitLab REST API project listing and search,Respect API pagination and rate limits,1,public_projects,50000000,projects,estimate,Planning estimate for public GitLab.com projects,,2026-07-09
Bitbucket,https://bitbucket.org,git-hosting,git-repository,Bitbucket Cloud API repository listing and workspace discovery,Separate Cloud from self-hosted Bitbucket instances,1,public_repositories,17000000,repositories,estimate,Planning estimate for public Bitbucket Cloud repositories,,2026-07-09
SourceForge,https://sourceforge.net,git-hosting,git-repository,Project directory APIs and site maps,Projects may expose Git SVN or download-only source,1,projects,500000,projects,estimate,Planning estimate for public SourceForge projects,,2026-07-09
npm,https://www.npmjs.com,package-registry,package-release,npm registry replication endpoint and package metadata API,Use tarball URLs from package version metadata,1,packages,3000000,packages,estimate,Planning estimate for npm package catalog,,2026-07-09
PyPI,https://pypi.org,package-registry,package-release,PyPI simple index and JSON API,Prefer sdists and record packages without source distributions,1,projects,700000,projects,estimate,Planning estimate for PyPI project catalog,,2026-07-09
Jupyter Notebook Viewer,https://nbviewer.org,notebook-hosting,notebook,Public notebook URLs through linked repositories and gallery indexes,Service renders notebooks rather than owning a complete catalog,1,notebooks,,notebooks,estimate,No reliable aggregate count identified; scope to be measured,,2026-07-09
Google Colab,https://colab.research.google.com,notebook-hosting,notebook,Public Drive and GitHub-linked notebook discovery,Only crawl notebooks explicitly exposed publicly,1,notebooks,,notebooks,estimate,No reliable aggregate count identified; scope to be measured,,2026-07-09
CodePen,https://codepen.io,code-demo,online-project,Public pen search and profile pages,Extract HTML CSS JS panels and dependency metadata,1,pens,,projects,estimate,No reliable aggregate count identified; scope to be measured,,2026-07-09
JSFiddle,https://jsfiddle.net,online-ide,online-project,Public fiddle search profile pages and APIs,Extract HTML CSS JavaScript and resource settings,1,fiddles,,projects,estimate,No reliable aggregate count identified; scope to be measured,,2026-07-09
Stack Overflow,https://stackoverflow.com,discussion-forum,forum-post-code,Stack Exchange API and data dumps,Use question answer revision provenance for code blocks,1,questions,24000000,questions,estimate,Planning estimate for Stack Overflow question corpus,,2026-07-09
MDN Web Docs,https://developer.mozilla.org,technical-publishing,web-page-code-blocks,Sitemaps and documented content repository,Examples may be duplicated across translated pages,1,pages,,pages,estimate,No reliable aggregate count identified; scope to be measured,,2026-07-09
