name,version,artifact_model,traversal_protocol,notes
git-repository,1,host -> repository -> branch -> commit -> tree -> blob,Enumerate repositories then refs and recursively walk Git trees via Git smart HTTP or host APIs,Use commit snapshots to make traversal reproducible.
package-release,1,registry -> package -> version -> distribution file -> source file,Enumerate package names and releases through registry APIs then fetch source distributions,Prefer source archives over built artifacts when both exist.
notebook,1,service -> user or organization -> notebook -> revision -> cell,Enumerate public notebooks through gallery or search APIs and read code cells from exported notebook documents,Record notebook revision or retrieval time.
online-project,1,service -> project -> revision -> file,Enumerate public projects through service APIs or search and fetch project files,Some services expose only rendered source and require page parsing.
web-page-code-blocks,1,site -> page -> code block,Discover pages from sitemaps feeds APIs or crawl frontiers then extract code blocks with page provenance,Store page canonical URL and retrieval timestamp.
forum-post-code,1,forum -> topic -> post -> code block,Enumerate topics and posts through APIs dumps or HTML then extract code blocks,Preserve post identity and edit timestamp where available.
code-snippet,1,service -> user -> snippet -> revision -> file,Enumerate public snippets through user indexes chronological feeds or APIs and fetch every file and revision,Preserve attribution creation time and revision identity.
research-deposit,1,repository -> deposit -> version -> file,Enumerate deposit metadata APIs and fetch files for records marked as software or code,Preserve DOI resource type and deposit version.
archived-origin,1,archive -> origin -> visit -> snapshot -> directory -> content,Enumerate origins and visits then walk the selected archive snapshot through content-addressed APIs,Record original provenance URL and archive visit timestamp.
model-repository,1,hub -> repository -> revision -> tree -> file,Enumerate public repositories and revisions with hub APIs then walk repository files,Classify model weights separately from source notebooks and application code.
extension-package,1,marketplace -> publisher -> extension -> version -> package -> file,Enumerate public extensions and versions then fetch distributable archives and extract source files,Prefer source maps and unminified files when present.
